OID_,fd_id,bid,cbfips,st_damcat,occtype,bldgtype,number_of_story,sqft,foundation,FFE,med_yr_blt,BRV,val_cont,val_vehic,ftprntid,ftprntsrc,source,students,pop2amu65,pop2amo65,pop2pmu65,pop2pmo65,o65disable,u65disable,y_column,x_column,flood_zone,grnd_elv_m,DEM,R10,R50,R100,R500
16258,487411458,76X6MGHJ+X5P-3-2-4-2,4.82E+14,RES,RES1-2SNB,W,2,2882,no_basement,0.5,1961,310126.434,155063.217,27000,48201_1308713,Bing,P,0,3,1,1,1,0.24,0.03,29.6799586,-95.46954526,A/AE,15.82365417,51.91487756,52.54756,54.50019,55.737,57.10634
16261,487411461,76X6MGJJ+C7H-5-3-3-0,4.82E+14,RES,RES1-2SNB,W,2,3038,no_basement,0.5,1961,320653.177,160326.588,27000,48201_1308716,Bing,P,0,3,1,1,1,0.24,0.03,29.681051,-95.4692695,A/AE,15.99671173,52.48265172,52.57283,54.53931,55.77125,57.14046
16262,487411462,76X6MGJJ+35C-4-4-4-3,4.82E+14,RES,RES1-1SNB,W,1,2377,no_basement,0.5,1961,277641.712,138820.856,27000,48201_1308718,Bing,P,0,2,0,1,0,0.24,0.03,29.68018719,-95.46960525,A/AE,15.95953941,52.36069529,52.53814,54.4856,55.72424,57.09361
16871,487412071,76X6MGF9+24X-3-1-3-2,4.82E+14,RES,RES1-2SNB,W,2,2258,no_basement,0.5,1964,271432.933,135716.466,27000,48201_1309861,Bing,P,0,3,1,2,1,0.24,0.03,29.6726125,-95.4821485,A/AE,16.66511726,54.67558332,54.69123,56.19118,56.99954,58.49387
20404,487415536,76X6MGF9+VHC-4-4-4-6,4.82E+14,RES,RES1-1SNB,W,1,2568,no_basement,0.5,1964,291175.391,145587.695,27000,48201_1312395,Bing,P,0,3,1,2,1,0.24,0.03,29.67469449,-95.48110225,A/AE,16.34493828,53.6251273,54.70097,56.201,57.0028,58.48626
20405,487415537,76X6MGF9+WCC-5-5-4-5,4.82E+14,RES,RES1-1SNB,W,1,2373,no_basement,0.5,1964,277407.347,138703.673,27000,48201_1312397,Bing,P,0,2,0,1,0,0.24,0.03,29.67481956,-95.48149881,A/AE,16.30922127,53.5079455,54.69123,56.19643,57.00262,58.49275
20406,487415538,76X6MGG9+4JX-4-4-3-3,4.82E+14,RES,RES1-1SWB,W,1,2985,basement,2,1964,434308.947,217154.473,27000,48201_1312398,Bing,P,0,3,1,1,1,0.24,0.03,29.675366,-95.480878,A/AE,16.08532524,52.77337846,54.69505,56.19338,56.99504,58.47811
20407,487415539,76X6MGG9+4H6-4-4-4-4,4.82E+14,RES,RES1-1SNB,W,1,2607,no_basement,0.5,1964,293870.735,146935.367,27000,48201_1312399,Bing,P,0,2,0,1,0,0.24,0.03,29.6752827,-95.4811201,A/AE,16.17617607,53.0714455,54.6993,56.20022,57.00277,58.48737
20408,487415540,76X6MGG9+3CH-5-4-6-4,4.82E+14,RES,RES1-1SNB,W,1,2760,no_basement,0.5,1964,303945.883,151972.941,27000,48201_1312400,Bing,P,0,3,0,1,0,0.24,0.03,29.67518992,-95.48139595,A/AE,16.30941963,53.50859631,54.69341,56.19746,57.00267,58.49131
20409,487415541,76X6MGF9+RC7-6-4-5-3,4.82E+14,RES,RES1-1SNB,W,1,2787,no_basement,1.5,1964,305641.313,152820.656,27000,48201_1312401,Bing,P,0,3,0,1,0,0.24,0.03,29.67454395,-95.48145208,A/AE,16.39595795,53.79251467,54.69305,56.19729,57.00266,58.49154
